"id","from","to","date","distance","countryside","device","suburban","age"
"142","Budapest","Komárom","2015-01-24T21:00:00","93","budapest","ios","false","21"
"143","Budapest","Székesfehérvár","2015-01-24T09:00:00","67","budapest","ios","false","30"
"144","Budapest","Nyíregyháza","2015-01-24T12:00:00","239","budapest","android","false","28"
"145","Budapest","Pécel","2015-01-24T10:00:00","23","budapest","ios","true","27"
"146","Budapest","Nagytarcsa","2015-01-24T16:00:00","17","budapest","ios","true","28"
"147","Kisvárda","Kecskemét","2015-01-24T16:00:00","364","countryside","ios","false","24"
"148","Budapest","Budapest","2015-01-24T11:00:00","7","budapest","android","true","37"
"149","Budapest","Budapest","2015-01-24T23:00:00","7","budapest","ios","true","26"
"150","Budapest","Budapest","2015-01-24T18:00:00","7","budapest","ios","true","26"
"151","Budapest","Budapest","2015-01-24T20:00:00","7","budapest","ios","true","28"
"152","Budapest","Monorierdő","2015-01-24T22:00:00","34","budapest","ios","true","29"
"153","Budapest","Budapest","2015-01-24T07:00:00","10","budapest","ios","true","36"
"154","Budapest","Budapest","2015-01-24T19:00:00","10","budapest","ios","true","21"
"155","Budapest","Budapest","2015-01-24T20:00:00","10","budapest","ios","true","28"
"156","Budapest","Budapest","2015-01-24T15:00:00","10","budapest","ios","true","36"
"157","Budapest","Pilis","2015-01-24T13:00:00","40","budapest","ios","true","24"
"158","Kunszentmiklós","Budapest","2015-01-24T14:00:00","65","budapest","ios","false","38"
"159","Mezőkövesd","Budapest","2015-01-24T08:00:00","133","budapest","android","false","37"
"160","Monor","Vecsés","2015-01-24T08:00:00","23","countryside","ios","true","35"
"161","Monor","Budapest","2015-01-24T19:00:00","29","budapest","ios","true","23"
"162","Monor","Budapest","2015-01-24T12:00:00","39","budapest","ios","true","36"
"163","Nyíregyháza","Debrecen","2015-01-24T12:00:00","61","countryside","ios","false","33"
"164","Nyíregyháza","Debrecen","2015-01-24T22:00:00","61","countryside","ios","false","37"
"165","Nyíregyháza","Mátészalka","2015-01-24T22:00:00","64","countryside","android","false","27"
"166","Budapest","Dunakeszi","2015-01-24T19:00:00","11","budapest","android","true","37"
"167","Budapest","Vecsés","2015-01-24T23:00:00","17","budapest","ios","true","29"
"168","Budapest","Budapest","2015-01-24T21:00:00","10","budapest","ios","true","20"
"169","Budapest","Budapest","2015-01-24T12:00:00","10","budapest","ios","true","20"
"170","Budapest","Monorierdő","2015-01-24T05:00:00","44","budapest","ios","true","28"
"171","Budapest","Vecsés","2015-01-24T13:00:00","18","budapest","android","true","26"
"172","Budapest","Szolnok","2015-01-24T18:00:00","105","budapest","ios","false","18"
